formula,target
AlH12(ClO2)3,9.24740274755
LiBO2,9.20669668849
Li3B7O12,10.0215479754
Li4SiO4,8.59369116987
B2O3,10.750427793900002
Li3PO4,9.86335126786
Li2BeSiO4,9.664982546689998
Li2SiO3,8.780541431
Na2B4O7,9.27453605408
Na2BeB2O5,9.00409513168
NO2,4.54675322693
LiSiBO4,10.4336993152
NaCNO,8.30121542143
NaBO2,8.03980025945
LiAlO2,8.15217271499
O2,2.11251709215
RbNa3Li12(SiO4)4,8.56210431892
KBe2BO3F2,10.9978012128
Mg2B2O5,9.04830735263
KHCO3,9.08352903731
Li4GeO4,7.24133395695
Na4B2O5,7.81316431249
Na2Mg(CO3)2,8.05948495275
Mg3(BO3)2,8.874947492110001
LiClO4,9.64748805603
BPO4,11.5603210905
CsKNa2Li12(SiO4)4,8.63770404641
LiAlSiO4,8.88788818227
Mg2BO3F,8.278625769289999
Li2CaSiO4,8.904697411789998
NClO6,3.7280074272199992
Li2MnO3,0.144492868768
CaMg(CO3)2,8.586830939139999
Li3AsO4,7.40340452488
MgO2,6.57008939066
Na2Li3GaO4,6.65289480801
Li4MoO5,4.0679112988
K2Li14Zr3O14,7.88395744579
SrB4O7,11.388751334
Li16Ta2N8O,5.962006047949999
YAl3(BO3)4,9.441530318139998
Na2O,5.58602201694
LiScO2,7.15860267761
Na4SiO4,7.22794228457
KNa2BO3,6.668035537740001
Na2SiO3,7.887991530599999
LiVO3,4.22414065082
Na2MgSiO4,7.66059775913
NaAlO2,7.618594282719999
Na2SO4,9.56363023472
KLiSO4,9.98741761029
ScBO3,7.637790847050001
CaCO3,8.475749839439999
Na2S2O7,9.09919284263
NaClO4,9.73482446324
NaAlPO4F,9.3048523098
NaAlP2O7,9.17457992776
MgO,8.12314062355
Si2N2O,7.9357232890499985
Al2O3,9.29003089908
Mg3(PO4)2,9.22140182364
SiO2,9.74007879057
MgSO4,9.51207126981
AlPO4,10.1555146801
MgP4O11,8.88114551718
P2O5,8.95418896856
KLi3GeO4,7.27584066031
NaLi2AsO4,7.31950683372
Li2ZnSiO4,6.74541410979
SrBe3O4,7.76890416638
LiGeBO4,7.61871248832
Be4TeO7,3.39436591895
Li4TeO5,5.18520462619
Na6S2ClO8F,9.49149961781
SnB4O7,5.80361301482
KNa2(PO3)3,9.27344892011
CsNa3Li12(GeO4)4,7.24872824788
K4Be3O5,7.327691039330001
KAl(SO4)2,9.57752447209
NClO,3.61920867804
CaAl4O7,7.67065695595
Na3Sc2(PO4)3,8.265194809
SrAl2B2O7,9.07786505769
Na4TiO4,7.30167283638
Sc2(SO4)3,7.881153172689999
K2Li3GaO4,6.79651923082
ClO2,1.52574751424
Zn4B6O13,6.30403557775
Li2TiGeO5,6.055657192180001
ZnP4O11,8.16830634625
KCaCO3F,8.69652640916
KAlSiO4,8.48146338987
KSO4,6.1487851319
RbH2OF,10.6601477425
Li2CaGeO4,7.259751155730001
KLi6TaO6,6.815470308330001
Na4FeO4,1.20614717753
K2CO3,8.518671256000001
NaV(OF)2,3.1831585760400003
ScPO4,7.97695678232
CaSO4,10.0919607406
KClO4,9.77193242799
MgCrO4,3.2994029958599995
LiGaSiO4,7.26409875957
LiAlGeO4,6.0858165710300005
Sc2Si2O7,7.81636252202
Li3SbO4,5.577363479680001
Rb2B4O7,9.15039566769
Na3ClO,5.47298604476
K2BeO2,6.77857825862
NaVO3,4.58561765246
Na5AsO5,4.44341340063
SrLiBO3,8.12575363582
VPO4,0.225953933215
BAsO4,7.220634697689999
K3Na(SO4)2,9.80519237041
Na4FeO3,0.903440951969
MgV2O6,3.86101773449
Na4SeO5,3.73600260301
GeP2O7,6.46809811857
CaCrP2O7,0.699822321001
KLi6BiO6,3.2954611835
Na4GeO4,6.59317907444
NaScO2,7.02927195116
LiCuO2,1.29080671361
KSO2F,6.57977570602
MgTi2O5,4.88904506532
NaGe2(PO4)3,6.40665617712
MgSn(BO3)2,6.29199881256
CsBe2BO3F2,10.7183175451
Na2ZnSiO4,6.452397509500001
NaCaVO4,5.1565928486
K3Sc(PO4)2,7.780231292360001
BaBe2Si2O7,9.36147025455
BaAl2B2O7,8.77266881851
FeSO4,2.06585306403
SrMgP2O7,9.35010855508
KNaV2O6,4.5639944346900005
Li2ZnGeO4,5.7778634245800005
LiGaO2,5.87098145043
LiInP2O7,7.055717040219999
RbNa2BO3,6.71228579835
Na2SeO4,6.647551772819999
Al2ZnO4,6.52809622997
Na3Mo(OF)3,5.69660199094
ScOF,7.658123468989999
CaCrO4,3.39414429222
ScVO4,4.01619172661
TiO2,4.22948371917
AlClO,9.25053600645
Ca4LaB3O10,7.974356380519999
Na3PS3O,5.44958316535
Na2GeO3,6.39331938574
KHSeO3,6.772769191880001
NbBO4,4.21329384691
ZnSO4,6.93360893964
AlAsO4,7.72993592713
MgSeO4,5.71025509372
K6Si2O7,7.68524713709
KVO3,4.35260115667
S(ClO)2,6.68394160458
Na3NbO4,6.11615279804
CaMgAsO4F,7.09855863494
Mg2As2O7,5.74659864352
Ca4Al6TeO12,6.32897532997
LiCuO,2.82094655338
Li2SnO3,6.0148099475
Na2SeO3,6.79553271025
AsPO4,7.589905344380001
CaZn2(PO4)2,6.83860113147
K3AlO3,6.88750885363
NaCoO2,2.38300380353
CdS2O7,7.056223618410001
Li2PdO2,2.3508132752
LiNbO3,5.38594109161
SrCO3,7.878152181900001
BaTi(BO3)2,4.57959943141
Na3In2(PO4)3,6.02454099014
MgGeO3,5.138007550759999
Mg3TeO6,5.49706793418
Li2TeO3,6.000414388359999
LiAl(MoO4)2,5.20836226627
RbLiCrO4,4.0386690624
KZnPO4,7.41692363028
KAsOF4,6.79372097201
P2PdO6,3.20210327884
Zn3S2O9,5.962060779219999
Sr3Sc(BO3)3,8.11558768782
Na4SnO4,5.36463766264
CaO,7.31396289722
KScO2,7.102851036060001
Li4PbO4,3.3496367787700003
K3VO4,5.40857985296
K2TiO3,5.91155840763
NaCuO2,1.65278656051
NaBrO3,7.189036423989999
LiZnAsO4,5.71129378908
BaMgP2O7,9.37723989885
KAlAs2O7,6.02124824292
Zr2P2O9,7.41573532613
Zr4Cd(PO4)6,6.620050159680001
MgSeO3,6.31725068885
CaTiGeO5,5.18684315768
K3Na(SeO4)2,6.90914945867
K3Nb3(BO6)2,3.81779755209
Sr2MgSi2O7,8.61049542182
ScAsO4,6.27160307848
YPO4,9.750929043010002
SrSO4,10.0051856666
RbClO4,9.82045892139
MgMoO4,5.24339391011
ZrSiO4,7.864847803839999
NaSc(GeO3)2,6.474158361030001
As2SO6,6.90321006842
LiYO2,7.5831152547
Na3SbO4,5.00480490053
Na2ZnGeO4,5.594675797509999
NaGaO2,5.894607508459999
Y2Be2GeO7,7.89540198632
AlCuO2,3.8062587221
SCl2O,5.968394320900002
SrSn(BO3)2,6.41396989554
BaLiBO3,8.38630393479
Ca3Sc2(GeO4)3,6.4926013550800015
Ca3(CoO3)2,1.33978635682
Y2Si2O7,8.68399203625
SrZn2(PO4)2,7.26772998119
SrGa2(SiO4)2,7.263107839169999
Sc2SO2,3.95827528761
Na5ReO6,4.05241128252
KSrPO4,9.12948133375
CsK2Sc(PO4)2,7.56000266517
K2SeO4,6.94164131248
K3Nb3Si2O13,4.04988362085
Ca(AsO3)2,5.807726657560001
KAl(MoO4)2,5.42546194243
MgSe2O5,4.82605413672
SeOF2,6.57161138217
CsNa2BO3,7.05527057236
BaBeSiO4,8.52861871449
CsBePO4,9.27439762231
CaGeO3,6.542523097999999
NaNbO3,4.69392219692
K2Zr3OF12,9.30228280403
Na5TaO5,6.218339951769999
K3FeO3,0.3591383627669999
K2O,5.52994509466
ZnO2,4.174960781369999
Ti(SeO3)2,4.47855128768
Sc2(SeO3)3,6.7316989855900005
Na3SbO3,5.27912868507
LiSbO3,4.43796201339
KBrO3,6.215640903080001
RbSO2F,6.737932274509999
KSeO2F,5.59556090778
CdCO3,4.939255949480001
InBO3,4.91817727634
SrCdP2O7,6.53470348495
CaMoO4,4.90639367767
PdSO4,2.2742439542
BaSi3SnO9,6.90819774638
Na4WO5,5.18413792788
Ca4PdO6,3.17813432486
Rb2Si3SnO9,6.90304497602
Na3AgO2,2.99803324592
Rb2Li2GeO4,6.8952799914
K2MoO4,6.11537630151
Li2WO4,5.04220481297
LiRhO2,2.58794543406
KAgCO3,3.77587826555
Sr3(PO4)2,9.38381360126
CsCOF3,11.3771378741
CdSO4,5.40648236384
GaAsO4,5.853565896290001
GeO2,6.018086627050001
InPO4,4.812381923769999
AgClO4,5.32059496711
Na3Ca2TaO6,6.996836720169999
Cd2B2O5,4.76997168666
Y2C(NO)2,7.1350876085
NaVCdO4,4.45026466981
RbZnPO4,7.060941634489999
CsMgPO4,8.52296507508
SbPO4,6.5206763392
P2PtO7,2.52511558675
Ca3SiO,1.0519000751899998
Rb2LiVO4,5.45793778414
ScCuO2,4.32988849204
KGeNO,4.86793333874
RbAlO2,7.0616073020500005
Rb2SrP2O7,8.90459565592
K2ZrGe2O7,7.13775139288
Sr10P6SO24,7.23030518016
Cd2P2O7,5.177531194569999
Ba2Mg(BO3)2,8.20039577509
LiInGeO4,4.62070888634
K2Pb(SO4)2,7.626127814039999
CaNb2O6,5.659941320950002
SeO2,5.524598092000001
In2P2O7,5.598010427309999
Ba2LaC3O9F,8.045480570399999
LaGeBO5,7.00777445132
BaBAsO5,6.58894313754
NaGeSbO5,4.2626469696800005
K2ZnO2,4.93613710884
SrTiO3,3.87186133188
Ca4P2O,3.00374104223
Ga4GeO8,4.20670850424
K4I2O9,4.30715277986
K2ZrO3,7.38617664973
NaNbO2,2.1449005371400003
LiInO2,3.56719090769
KAsO2,6.34771671474
CuSe2O5,0.218452707817
Ga2O3,4.19766580546
Ge2N2O,4.47405982189
Rb2Zr3OF12,9.14382286031
Sr3V2O8,5.0733368016
ZnSe2O5,4.85302021567
Ca4Cl6O,9.1509751884
Ba2MgSi2O7,8.6269665609
YAsO4,6.6252904617
LaPO4,9.95736747798
ZrGeO4,6.54549880655
Na4Br2O,5.286750892200001
Ca2SnO4,5.368720538990001
Sr2SiO4,8.1860051015
BaTiOF4,5.6845268024800015
Nb2O5,4.05586187182
Sr4Ti3O10,4.0775493666500005
NaIO3,5.9770762475
RbLiZn2O3,4.0380520105
K4Zr5O12,5.88043248597
Zn(GaO2)2,4.405002709240001
Mg4Ta2O9,6.82382422646
Rb2LiAsO4,7.140698731889999
TlV3O8,2.5465484159000003
NaRhO2,2.56231606108
SrO2,5.521455733350001
V2Cd2O7,3.63373419244
Cd(AsO3)2,3.88645862196
As2O3,5.93545520455
Na4Hf2(GeO4)3,7.13891867365
Ba3Zn6Si4TeO20,5.0531335094
SrGa4O7,5.00431991246
Al6Cd4TeO12,4.98876571008
CaTaAlO5,6.30131783356
TaBO4,5.4801300171700005
KYO2,1.81354783925
RbScO2,6.71323383911
Na3BiO4,2.91161608732
BaHf(PO4)2,8.3866561278
Bi3B5O12,5.7436015222000005
CsTa(BO3)2,5.72972033197
KNaLaNbO5,6.0031109568300005
Li2PbO3,2.31753349098
YOF,8.52438392618
SrMoO4,5.3596223793
YNbO4,5.63233813358
LaVO4,4.45446449416
ZrO2,6.45886895863
NbNO,2.8558515578400003
LaAlO3,7.077308992080001
SrGeO3,6.51959146046
BaSiO3,8.41364165176
KSbO3,5.284993772119999
TiCdO3,5.09871907728
Sr2ZnGe2O7,5.99540535106
CsZnPO4,7.22346149332
Cs2Li2TiO4,7.23963749092
Ca(SbO3)2,5.34685036254
RbGeIO6,4.69221709594
K2TeO3,6.02461764262
NaInO2,4.431437797
ZnO,2.40067029217
AlAgO2,2.46498867431
K3Ta3(BO6)2,4.81966468439
Sn2OF5,3.0475122026
RbBrO3,6.51058871566
CsSO2F,7.14676684363
SrSeO3,6.003500368130001
KIO3,4.56065146171
TiNb3O6,1.14072020264
Ba4LiCu(CO5)2,2.01018708905
Sr3Ga4O9,5.85010144119
K3Ta3Si2O13,5.07234314445
NaSr3NbO6,5.63678679689
CsNO2,4.3795141055
Cs2SrP2O7,9.00497869776
RbIn(MoO4)2,5.84067735921
KAs4BrO6,4.940179511369999
CdSe2O5,4.979515107799999
BaSn(GeO3)3,5.4796078576900005
MgWO4,4.84792201794
TaAlO4,6.32321945061
HfSiO4,8.66304329526
OsO3F2,3.68614937695
WOF4,4.16523821052
TeSeO4,4.845687120369999
NaReO4,5.68352573191
Ba4NaCu(CO5)2,2.23546949322
La2SO6,8.846701799149999
Na3BiO3,5.31088845447
Zn(SbO3)2,3.33019674749
Ca3GeO,1.00993713434
K2PdO2,2.52472443241
Cs2Li2GeO4,6.9744306296700005
Rb2TiO3,6.488444402640001
RbBaPO4,9.072121150569998
Nb2SnO6,2.3731831057900004
BaAl2Sb2O7,5.57978223518
Ba3(PO4)2,9.26950191572
AlTl(MoO4)2,5.4347256690400005
Sr2LiReO6,3.25994548139
Ca(RhO2)2,1.6537804913
Ag2SO4,2.91700525506
Cd(GaO2)2,3.37205045351
Cd2SiO4,3.28095073168
Ba2Nb6Te2O21,4.058245187200002
LaAsO4,7.26449370506
SrTeO4,4.75103635803
BaSeO4,6.73953187418
CdMoO4,3.84378762669
NbInO4,5.13743358882
K2CdO2,3.76868220387
Sr2YNbO6,5.50314228273
RbNbO3,5.40334255133
SrZrO3,6.74274763972
BaTiO3,4.66315039861
Zn(IO3)2,5.31811882107
RbCuO2,2.10362305724
K2WO4,6.9228556580800005
La2MgGeO6,7.17326004372
Sr3GaO4F,6.856595862459999
BaNb2O6,4.52908704579
Ag2CO3,1.34798796275
Sr3ScRhO6,3.65220135875
PdSeO3,2.14630794869
ScTl(MoO4)2,5.288965017940001
Te2O3F2,5.45030994982
I2O5,4.47239297337
Ba10P6SO24,6.9344654764100015
Cs2LiVO4,5.49543867234
ScAgO2,3.60425101929
SrZnO2,4.25569018577
CsAlO2,7.911762349019999
KReO4,6.182107328350001
KAs4IO6,4.1990271774300005
Sr2MgWO6,4.67735925813
Rb3AlO3,6.3783592099
Rb2MoO4,6.2552930902
CdSeO3,5.17782981976
La3Ga5SnO14,6.19816090036
Y6WO12,4.42063121644
Nb2Cd2O7,4.080809403419998
Y2Sn2O7,5.118727409730001
Sr2Sb2O7,3.5243874502599994
Na2Pd3O4,0.901572385426
Na3AuO2,4.3000081878600005
ScBrO,5.80335262197
ZrSO,4.393727429019998
CdO2,2.93550067908
HgSO4,3.0725264999799995
Ba3V2O8,5.27536997769
Sr2YSbO6,6.59613802653
CaIn2O4,4.24923839551
RbAsO2,6.489509544090001
KSbO2,3.88107685304
OsO4,4.89040682013
SbAsO3,5.656556429839998
BaMoO4,5.77102259559
LaNbO4,6.231216821209999
TlClO4,8.65348054582
Na3TlO2,3.8935297496
Zn(RhO2)2,2.04376173192
As2PbO6,3.58070529361
Sr2CaWO6,4.66713362731
Cs2Sn(GeO3)3,5.11218406214
Co(ReO4)2,2.00111078435
Ca4As2O,2.86423746253
K4Br2O,4.36223350544
SnO2,2.5856445129
Cs2NaVO4,5.5110580352100005
NaAgO,2.83187529141
Y2SO2,5.62649630883
Ca2PbO4,2.99301360412
K2W2O7,3.39783902663
Ca2Ta2O7,4.12025614596
Cu2O,1.02929798424
Ti(SnO2)2,2.06311788852
Ga10GePb3O20,5.29419360331
InOF,3.1543474591000003
LiBiO3,1.24871362545
Zr3Tl2OF12,7.089351922889999
Zn(ReO4)2,6.06433363261
Ba2CaMoO6,3.61508206386
Na2W4O13,2.51817304817
KAg2AsO4,1.6459991673299998
Sr(CuO)2,3.33546358879
Sr2FeWO6,1.97871971451
SrSnO3,3.62838759793
BaGeO3,6.72184139324
NbAgO3,3.3394792937550006
PbCO3,6.08955795381
BiBO3,5.12897305756
Cd(IO3)2,5.43752939579
Rb2O2,5.15643951223
CuRhO2,1.7952599673700005
CoAgO2,1.44786549023
Rb2Hf3OF12,9.993506860539998
Na4I2O,5.45271123845
K2Cd2O3,2.32340480541
Ba2SiO4,8.4088322583
TlZnPO4,6.64508967335
ZnWO4,4.3008943230400005
CrHgO4,2.3704236155
HfGeO4,6.68504810536
TeO2,4.2477081104100005
SbOF,5.35316515504
Sr3Te4O11,5.24947638831
Rb6Ge2O7,6.41603909453
Sr2ZnWO6,4.599056308
BaSeO3,6.446985385569999
CsBrO3,6.7727761302600005
RbIO3,4.90522855107
Ba(SbO3)2,5.4399809363900005
Ba3(AsO4)2,7.16280227216
SrO,6.924297096599998
KLaO2,6.85541049502
CuAgO2,0.159048632628
Ta2Zn3O8,6.08563232064
K2Sn2O3,2.7635900509099995
K2SrTa2O7,4.17768095745
Na2PtO2,2.85844288995
KTaO3,4.0970401693300005
Cs2NaAsO4,7.163140519439999
Ba(IO3)2,5.8005641606800005
K3BiO3,5.52775935911
Ba3Nb2ZnO9,4.7355192218
GaAgO2,1.4716624148
SBr2O,4.64636393124
K3IO,4.261563507819998
NaBiO3,2.96321674515
Cs3As5O9,5.5428696121200005
Rb3GaO3,5.8980353598800015
BaLa2BeO5,7.029445905269999
Ba4Li(SbO4)3,3.70058192701
LiTa3O8,5.52205673816
BaO2,5.561189562000001
RbReO4,6.3383764015100015
SrWO4,6.1860970972
YTaO4,6.384420604730001
Ba2YNbO6,5.15011498128
BaZrO3,6.07996001792
Ba3Nb2O8,7.36858865114
Ta2CrO6,0.903258279707
Cd(RhO2)2,1.9595997496
HfTe3O8,6.11531883419
In2O3,2.70064778823
Ta2FeO6,2.35313782908
VAg3O4,1.87819408875
WO3,2.5022889964400004
La2Sn2O7,4.975111778880001
Ba3Te2O9,4.78674018775
Sr2CdWO6,4.78344160966
PbSeO4,5.47576908662
LaOF,8.225235458119997
InClO,4.49795771515
Te6Br2O11,4.23151529316
Si3(BiO3)4,6.385465895529999
Ta2ZnO6,5.1738673019
Mg(BiO3)2,1.5032026990799998
Ga2PbO4,5.716121365019999
LaRhO3,1.18210945216
Sb2O3,3.82021471309
Sn2OF2,4.45226586724
Sr2Ta2O7,4.77697927763
Ag2SeO3,3.2763825992
Ba2CaWO6,4.746106342819999
Cd2SnO4,1.7926985101599997
LaCuO2,4.93213482078
BaZnO2,4.67236026449
TlBO2,5.43310396219
ReAgO4,4.16783784116
CdWO4,4.311888452790002
HgMoO4,3.41947890108
TaInO4,5.88184310778
SrTa2O6,5.403698911699999
Ba2ZnGe2S6O,3.81189989132
NbBiO4,4.819542876080001
Sr2CuBrO2,5.58202139569
RbSbO2,4.23331413389
Ca2Pt3O8,1.9768682275
Ba(CuO)2,3.4519129365400003
BaSnO3,2.35580774261
Sr3CdPtO6,3.83328775604
CsCu3O2,3.04379579668
BaTeO3,4.55883080013
CsIO3,5.04156640434
NaAuO2,2.57929004658
Ta2O5,5.14326273426
La2CoIrO6,0.875825896159
LiAg3O2,1.50726648104
K2HgO2,4.56199899694
SrTaNO2,2.18060044805
RbTaO3,5.777210405290001
SrHfO3,7.39781051969
Ca2Hf7O16,7.191537384460001
BaWO4,6.581580436169999
LaSO,2.79300833884
NaTlO2,2.18496573972
Nb2Hg2O7,1.90187132992
Hg3(BO3)2,4.50407620837
Sr4P2O,2.98982051249
Sr2PbO4,2.93889657811
Ca4Sb2O,2.22360073419
CaBiClO2,5.86785588305
Ba2YTaO6,6.133286549269999
Ba3NaTaO6,6.41943586969
Rb2O,4.89169575684
LaClO,7.853581311919999
HgAsO3,2.24950912603
Sr5(AuO4)2,2.63612799941
RbLaO2,6.766171260780001
YZnAsO,1.89433879152
LaZnPO,1.24551360027
BaZnSO,4.13019521527
NaBiO2,2.83035125835
Ge3(BiO3)4,5.70489249711
Rb2CdO2,3.69394967988
Cs6Si2O7,6.98708943657
Ba2ZnO3,5.358247503069999
Ba2InO3F,4.0581391166500005
Ba2SnO4,4.78393689566
Rb2SnO2,4.46535637736
NaAg3O2,1.53667787481
InAgO2,2.0419856317
BaSbClO2,4.93185283386
PbSeO3,5.05547281126
Ba2YBiO6,3.83299480369
In6Ge2PtO9,2.22597351446
Rb2Sn2O3,2.63630388566
Hg2NO4,2.87665172927
Ba3In2O6,2.6295575020200004
La2Hf2O7,7.667635095510001
Ba3BAsO3,3.4236478514
Pb2CO4,5.83355632234
Ba2CuClO2,0.902847073786
Cs2ZrO3,7.212600844260002
CaHgO2,4.39329441748
KTlO2,2.02427799078
Ba2LaTaO6,6.10674884473
La2SO2,5.517828383
HfO2,6.97534822372
Ba2BiSbO6,3.20868465046
KBiO2,3.79411959233
Hg2SO4,3.73791819355
Rb2PbO3,3.2232978028
BaCdO2,2.54182261003
Ca(AuO2)2,2.72190551402
LaTaN2O,1.86511635588
CsSbO2,4.47248253322
RbAgO,3.5362819504000003
CsCuO,3.28730151786
SrBiClO2,5.70580727326
Sr3GeO,1.20556662734
Cu2PbO2,2.58967356871
PtO2,1.08860761966
TaBiO4,5.5498019186
TlPd3O4,1.9124232801900003
Cs2O2,4.70591949342
TlIO3,4.74539014385
YBi2ClO4,3.1632465627099995
BaLa2PtO5,4.185099415340002
Hg2GeO4,2.235869703
BaO,4.85130534027
LaZnAsO,1.11707620105
LaCuSeO,3.1731724183
HfSO,4.819620663409999
Tl2CO3,5.483758934859999
Sr4As2O,2.87458315999
K2Pb2O3,3.49503529792
Ba2PbO4,2.50530201187
Sr(AuO2)2,2.6447638532
BaBiO3,0.548120466822
La2SeO2,4.4537356789
La4Se3O4,2.80571197363
Cd(PtO2)3,0.608432656604
SbPbClO2,3.44322790636
LaBrO,7.364969609189999
BiOF,5.6389238842100005
Ag2BiO3,1.02987476502
Sr(BiO2)2,4.771592125480001
Tl2MoO4,4.760176615430001
Rb2HgO2,4.54743735881
RbBiO2,4.1762083728500015
YBi2BrO4,3.0614728619200005
Tl2Pt2O7,1.33236140957
Bi2Pt2O7,1.35573840421
Rb2PbO2,4.04309052415
SrBiBrO2,5.511315446599999
BaBiClO2,5.47692683721
AuClO,1.7236006220700002
TiTl2O3,4.0600960229
Ba2Tl2O5,1.28569047689
AgHg3SbO6,2.16822752034
Ba(AuO2)2,2.5196464509
Bi4O7,1.71028136681
Ba2Bi2O5,3.79472648347
BiClO,4.62606635305
KTlO,3.06155929918
InAuO2,0.624828153939
CdHgO2,1.50210763666
YBi2IO4,3.06634740126
Tl3PO4,5.0162765848
Ca4Bi2O,2.08389054324
Au2O3,1.87892036102
La2TeO2,3.61136798665
Sr3TaAs3O,2.46187777879
Bi3ClO4,4.14301319364
Si2Hg6O7,2.5072832392200004
BaHgO2,4.30915113427
Tl6Si2O7,3.3705733071599995
Sr2I2O,6.099414256980001
Pb2OF2,5.112994399330001
CsBiO2,4.52333031309
LaBi2IO4,2.84784154565
CuBiSeO,1.5092721379499998
Tl3AsO4,4.92196468061
Tl3BO3,2.79318481449
Cs2O,2.36723019102
Bi3BrO4,4.14297479541
BiPbClO2,3.838840507430001
Bi2SO2,2.05625480151
RbAuO,3.4573106728600003
NbI3O,1.37787528014
BaBiIO2,5.143867297330001
HgPb2(ClO)2,3.89681712736
BiBrO,4.16216199885
Bi2SeO2,1.50771826022
Sr4I6O,6.160338577209999
HgO,2.4400558408400004
TaI2O,1.71661189904
Ba4Sb2O,1.93124039428
BiIO,2.9536902141100003
Ba4I6O,6.82529110781
Tl2O,1.7094685452
Cs7Au5O2,3.2017236114
